timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1589477231900,0,70,1.5380859375E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231915,0,58,1.2744140625E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231916,0,57,1.2524414062500001E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231916,0,64,1.40625E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231916,0,107,2.35107421875E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231917,0,-83,-1.82373046875E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231917,0,-40,-8.7890625E-6,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231917,0,-46,-1.0107421875E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231917,0,-76,-1.669921875E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231917,0,-96,-2.109375E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231917,0,-118,-2.5927734375E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231918,0,-128,-2.8125E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231932,0,-124,-2.724609375E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231933,0,-116,-2.548828125E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231933,0,-111,-2.43896484375E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231948,0,-86,-1.8896484375000003E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231949,0,-56,-1.23046875E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231949,0,-53,-1.1645507812500002E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231949,0,-60,-1.318359375E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231949,0,-70,-1.5380859375E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231951,0,-90,-1.9775390625E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231951,0,-115,-2.52685546875E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231951,0,103,2.26318359375E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231952,0,73,1.6040039062500002E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231978,0,87,1.91162109375E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477231999,0,124,2.724609375E-5,26,83,43,740706,87362,10123,28251,3777,27345,3806,1464,Tag0,unknown
1589477232001,0,-119,-2.6147460937500004E-5,37,69,43,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232001,0,123,2.70263671875E-5,37,69,43,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232001,0,120,2.63671875E-5,37,69,43,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232002,0,107,2.35107421875E-5,37,69,43,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232002,0,96,2.109375E-5,37,69,43,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232003,0,103,2.26318359375E-5,37,69,43,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232003,0,120,2.63671875E-5,37,69,43,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232003,0,-127,-2.79052734375E-5,37,69,43,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232003,0,106,2.3291015625000003E-5,37,69,43,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232004,0,50,1.0986328125E-5,37,69,43,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232004,0,-261,-5.73486328125E-5,37,69,43,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232004,0,-283,-6.218261718750001E-5,37,69,43,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232004,0,-290,-6.3720703125E-5,37,69,43,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232005,0,-297,-6.525878906250001E-5,37,69,43,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232005,0,-315,-6.92138671875E-5,37,69,43,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232005,0,-338,-7.426757812499999E-5,37,69,43,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232007,0,-365,-8.02001953125E-5,37,69,43,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232007,0,-142,-3.1201171875E-5,37,69,43,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232007,0,-166,-3.6474609375E-5,37,69,43,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232008,0,-171,-3.75732421875E-5,37,69,43,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232008,0,-129,-2.8344726562500002E-5,37,69,43,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232008,0,-284,-6.240234375E-5,37,69,43,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232008,0,50,1.0986328125E-5,37,69,43,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232009,0,81,1.77978515625E-5,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232010,0,91,1.99951171875E-5,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232011,0,-125,-2.74658203125E-5,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232012,0,-77,-1.69189453125E-5,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232022,0,-45,-9.8876953125E-6,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232022,0,-57,-1.2524414062500001E-5,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232022,0,-95,-2.08740234375E-5,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232023,0,120,2.63671875E-5,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232023,0,88,1.93359375E-5,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232023,0,59,1.29638671875E-5,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232023,0,34,7.4707031250000005E-6,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232023,0,11,2.4169921875E-6,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232024,0,17,3.7353515625000003E-6,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232031,0,41,9.008789062499999E-6,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232032,0,58,1.2744140625E-5,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232032,0,66,1.4501953125E-5,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232032,0,84,1.8457031250000004E-5,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232032,0,103,2.26318359375E-5,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232032,0,-127,-2.79052734375E-5,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232033,0,-108,-2.3730468750000002E-5,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232048,0,-118,-2.5927734375E-5,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232049,0,119,2.6147460937500004E-5,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232049,0,116,2.548828125E-5,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232049,0,124,2.724609375E-5,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232049,0,119,2.6147460937500004E-5,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232049,0,107,2.35107421875E-5,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232049,0,100,2.197265625E-5,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232049,0,80,1.7578125E-5,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232050,0,40,8.7890625E-6,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232065,0,7,1.5380859375E-6,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232065,0,16,3.515625E-6,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232066,0,37,8.1298828125E-6,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232066,0,32,7.03125E-6,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232066,0,3,6.591796875E-7,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232066,0,1,2.197265625E-7,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232082,0,32,7.03125E-6,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232082,0,56,1.23046875E-5,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232083,0,67,1.4721679687500002E-5,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232083,0,70,1.5380859375E-5,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232098,0,58,1.2744140625E-5,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232098,0,27,5.9326171875000005E-6,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232098,0,10,2.197265625E-6,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232099,0,22,4.833984375E-6,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232099,0,29,6.3720703125E-6,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232099,0,25,5.4931640625E-6,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232099,0,26,5.712890625E-6,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232099,0,33,7.2509765625E-6,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232099,0,41,9.008789062499999E-6,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232099,0,36,7.91015625E-6,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232100,0,32,7.03125E-6,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232100,0,29,6.3720703125E-6,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
1589477232100,0,48,1.0546875E-5,37,69,39,236254,69464,3008,8748,13741,15456,6659,4417,Tag0,unknown
